n_jobs       thread time         process time
1       0.02400064468383789    0.5630452632904053
2       0.03100299835205078    0.5070414543151855
3       0.024003028869628906    0.5310416221618652
4       0.03200411796569824    0.5970480442047119
5       0.023001909255981445    0.6130473613739014
6       0.021001100540161133    0.6200504302978516
7       0.021999120712280273    0.6240530014038086
8       0.02499985694885254    0.6506326198577881
9       0.02000117301940918    0.6970562934875488
10       0.028003215789794922    0.7310590744018555
11       0.031001806259155273    0.7340588569641113
12       0.02300119400024414    0.7920651435852051
13       0.02600240707397461    0.8620693683624268
14       0.02800154685974121    0.8250665664672852
15       0.036002397537231445    0.8615701198577881
